"axis","side","keyword"
"期待・進歩志向 vs 懸念・リスク志向","left","未来を切り拓く"
"期待・進歩志向 vs 懸念・リスク志向","left","診断精度向上"
"期待・進歩志向 vs 懸念・リスク志向","left","可能性"
"期待・進歩志向 vs 懸念・リスク志向","left","技術革新"
"期待・進歩志向 vs 懸念・リスク志向","right","プライバシー保護"
"期待・進歩志向 vs 懸念・リスク志向","right","不正利用対策が急務"
"期待・進歩志向 vs 懸念・リスク志向","right","リスク管理"
"期待・進歩志向 vs 懸念・リスク志向","right","倫理的問題"
"革新・効率化重視 vs 倫理・規制重視","left","業務効率化に貢献"
"革新・効率化重視 vs 倫理・規制重視","left","自動運転の期待"
"革新・効率化重視 vs 倫理・規制重視","left","省力化"
"革新・効率化重視 vs 倫理・規制重視","left","自動化"
"革新・効率化重視 vs 倫理・規制重視","right","アルゴリズムは透明に"
"革新・効率化重視 vs 倫理・規制重視","right","倫理委員会設置が望ましい"
"革新・効率化重視 vs 倫理・規制重視","right","法整備"
"革新・効率化重視 vs 倫理・規制重視","right","安全性の確立"
"マクロ・戦略視点 vs ミクロ・ドメイン視点","left","国際競争力を高める鍵"
"マクロ・戦略視点 vs ミクロ・ドメイン視点","left","スマートシティ構築"
"マクロ・戦略視点 vs ミクロ・ドメイン視点","left","産業構造の変革"
"マクロ・戦略視点 vs ミクロ・ドメイン視点","left","広域的連携"
"マクロ・戦略視点 vs ミクロ・ドメイン視点","right","個別化医療"
"マクロ・戦略視点 vs ミクロ・ドメイン視点","right","個別最適化学習"
"マクロ・戦略視点 vs ミクロ・ドメイン視点","right","教育分野への応用"
"マクロ・戦略視点 vs ミクロ・ドメイン視点","right","災害予測"
"自動化・システム中心 vs 人間・社会中心","left","産業用ロボットとの連携"
"自動化・システム中心 vs 人間・社会中心","left","自動分析"
"自動化・システム中心 vs 人間・社会中心","left","AI主導"
"自動化・システム中心 vs 人間・社会中心","left","無人化"
"自動化・システム中心 vs 人間・社会中心","right","創造性を刺激"
"自動化・システム中心 vs 人間・社会中心","right","雇用への影響"
"自動化・システム中心 vs 人間・社会中心","right","継続的な監視が不可欠"
"自動化・システム中心 vs 人間・社会中心","right","意思決定補完"
"汎用技術志向 vs 特化技術志向","left","日常生活の多くで便利"
"汎用技術志向 vs 特化技術志向","left","ビッグデータ解析"
"汎用技術志向 vs 特化技術志向","left","横断的AI活用"
"汎用技術志向 vs 特化技術志向","left","広範囲適用"
"汎用技術志向 vs 特化技術志向","right","画像認識による防犯"
"汎用技術志向 vs 特化技術志向","right","音声認識でバリアフリー社会"
"汎用技術志向 vs 特化技術志向","right","医療診断専用AI"
"汎用技術志向 vs 特化技術志向","right","農業自動化AI"
